,Datetime Event Began,Datetime of Restoration,Area Affected,State Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,State Avg Temp (F),State Avg Windspeed (mph),State Avg Precipitation (mm),State Daily Energy Demand (MWh)
120,2020-04-20 00:59:00,2020-04-20 08:40:00,Alabama: Mississippi: Georgia: Florida:,Alabama,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,552.0,77341.0,63.425000000000004,6.431087499999999,44.38501529051988,4723
121,2020-04-23 08:00:00,2020-04-23 23:40:00,Alabama: Georgia: Mississippi: Florida:,Alabama,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,375.0,52163.0,62.915000000000006,8.661773888888888,22.79313432835821,5250
122,2020-04-24 21:00:00,2020-04-24 21:33:00,"California: Placer County, Nevada County;",California,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,System Operations,5.0,945.0,63.26618556701031,2.01321,0.03861386138613861,24148
123,2020-04-28 20:01:00,2020-04-28 23:21:00,Texas: Jefferson County;,Texas,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,14.0,1.0,,,1.9695,56912
124,2020-05-04 11:59:00,2020-05-07 20:00:00,Tennessee: Davidson County;,Tennessee,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,500.0,130000.0,68.06,5.547511999999999,10.24247191011236,11923
125,2020-05-19 20:04:00,2020-05-19 22:00:00,Alabama: Jefferson County;,Alabama,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,8.0,6000.0,68.105,5.204520666666666,5.332298136645963,5348
126,2020-05-25 10:58:00,2020-05-25 13:00:00,Texas: Kerr County;,Texas,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,8.0,3745.0,,,36.5007,56473
127,2020-06-03 13:00:00,2020-06-06 16:30:00,New Jersey:,New Jersey,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,80.0,87000.0,73.16,6.397534,9.292491467576792,8348
128,2020-06-27 16:00:00,2020-06-28 02:27:00,Alabama: Georgia:,Alabama,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,33480.0,78109.0,77.03,4.4738,4.103715170278638,6458
129,2020-07-01 19:26:00,2020-07-01 19:44:00,Pennsylvania:,Pennsylvania,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,32.0,2013.0,73.48,4.545700357142858,1.3695544554455445,24647
130,2020-07-12 14:08:00,2020-07-12 20:44:00,Nevada: Washoe County;,Nevada,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack,36.0,10000.0,73.38451612903226,7.01827375,0.0015957446808510637,129
131,2020-07-16 08:49:00,2020-07-16 11:06:00,North Dakota: Minnesota:,Minnesota,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,475.0,0.0,68.66,7.544453636363635,0.5164978292329956,82142
132,2020-07-19 10:30:00,,New York: Niagara County,New York,NPCC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,675.0,,78.86,8.072577352941176,0.29465346534653464,25456
133,2020-07-20 00:57:00,2020-07-20 02:34:00,Texas: Travis County;,Texas,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,21.0,14096.0,,,0.6818,79779
134,2020-07-21 11:53:00,2020-07-21 13:00:00,Washington: Pierce County;,Washington,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,19.0,11000.0,67.30523364485981,6.912742580645161,0.033396946564885496,
135,2020-07-25 21:00:00,2020-07-26 16:00:00,"Texas: Hidalgo County, Cameron County, Starr County, Kenedy County, Willacy County, Brooks County, Jim Hogg County;",Texas,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,125.0,84000.0,,,1.6559000000000001,80181
136,2020-08-04 13:00:00,2020-08-04 23:59:00,"New York: Nassau County, Suffolk County, Queens County;",New York,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,3907.0,420000.0,70.75142857142856,7.247555999999999,7.788022813688213,26576
137,2020-08-04 11:20:00,2020-08-07 10:55:00,New Jersey:,New Jersey,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,60.0,75000.0,77.36,10.612847777777777,17.813131313131315,15421
138,2020-08-04 15:15:00,2020-08-07 10:27:00,Connecticut: Massachusetts: New Hampshire: Maine: Rhode Island: Vermont:,Connecticut,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,2000.0,1188247.0,76.00999999999999,11.60391875,3.297546012269939,5449
139,2020-08-04 06:01:00,2020-08-06 15:30:00,"North Carolina: Brunswick County, Columbus County, Pender County, Duplin County, Onslow County, Jones County, Craven County, Jones County, Beaufort County, Bertie County, Chowan County, Gates County, Perquimans County;",North Carolina,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,311.0,125987.0,75.19027027027028,10.992765714285714,42.405795574288724,
140,2020-08-05 17:58:00,2020-08-05 20:53:00,Texas: Orange County;,Texas,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,89.0,19785.0,,,0.5686,79386
141,2020-08-07 05:13:00,,"New York: Queens County, New York County;",New York,NPCC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident.,Severe Weather,500.0,187068.0,68.84857142857143,4.43312909090909,2.4289772727272725,21589
142,2020-08-10 11:00:00,2020-08-10 16:00:00,"Iowa: Webster County, Greene County, Dallas County, Hamilton County, Boone County, Polk County, Hardin County, Story County, Jasper County, Grundy County, Marshall County, Tama County, Poweshiek County, Benton County, Iowa County, Linn County, Johnson County, Jones County, Cedar County, Muscatine County, Jackson County, Clinton County, Scott County;",Iowa,MRO,"Uncontrolled loss of 200 Megawatts or more of firm system loads for 15 minutes or more from a single incident for entities with previous year's peak demand less than or equal to 3,000 Megawatts.",Severe Weather,550.0,,74.16499999999999,7.539668823529411,4.182513661202186,70105
