,Datetime Event Began,State Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,State Avg Temp (F),State Avg Windspeed (mph),State Avg Precipitation (mm),Monthly Net Energy for Load (GWh),Monthly Peak Hour Demand (MW),State Avg Snowfall (mm)
92,2019-11-27 12:00:00,Michigan,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,30.0,107000.0,38.46875,17.756357931034483,18.785714285714285,61775.0,113344.0,62.89591078066915
93,2019-12-07 06:10:00,Oklahoma,SPP RE,Physical attack that causes major interruptions or impacts to critical infrastructure or to operations.,Vandalism,2.0,400.0,41.39,7.023865999999999,0.000864553314121,23595.249,40053.952,1.3484848484848484
94,2019-12-11 20:53:00,Oklahoma,SPP RE,Physical attack that causes major interruptions or impacts to critical infrastructure or to operations.,Vandalism,1.0,392.0,38.03,10.319565333333331,0.0,23595.249,40053.952,0.2899022801302932
95,2019-12-11 13:27:00,North Dakota,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission / Distribution Interruption,18.0,1.0,-2.431428571428569,8.500219999999999,0.1688524590163934,82379.46565499993,179564.880416,0.2899022801302932
96,2019-12-31 11:03:00,Texas,TRE,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.,Transmission / Distribution Interruption,25.0,0.0,44.59513513513514,4.488468196721311,0.0216,29322.661213102,56080.310988,0.273542600896861
97,2020-01-11 02:25:00,Arkansas,SPP RE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather,22.0,7541.0,37.29714285714286,9.887098,64.66545454545454,24221.805,42399.03,0.9724770642201837
98,2020-01-11 13:20:00,Tennessee,SERC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,4.0,0.0,61.400000000000006,12.343620909090909,10.98696682464455,73313.0,155136.0,0.9724770642201837
99,2020-01-11 12:50:00,Alabama,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,219.0,30715.0,66.11,13.135573888888889,9.640123456790125,73313.0,155136.0,0.9724770642201837
100,2020-01-17 05:28:00,California,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,87.0,67864.0,36.83211267605634,5.184511265822785,11.522377622377622,75757.70458728801,128013.15993161926,61.73831775700935
101,2020-01-22 02:57:00,Nevada,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,7.0,3120.0,34.920645161290324,3.697464117647059,0.5717277486910994,75757.70458728801,128013.15993161926,1.0217391304347827
102,2020-01-27 14:10:00,Montana,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,540.0,130000.0,28.84748603351955,7.617233157894737,0.938676844783715,84010.40783806998,140067.21574,0.8189189189189189
103,2020-01-30 03:01:00,North Dakota,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission / Distribution Interruption,75.0,0.0,23.844615384615384,8.823327777777777,0.3224137931034482,84010.40783806998,140067.21574,0.0
104,2020-02-09 09:30:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,500.0,145000.0,40.43245551601424,5.36856,0.1767085076708507,69237.56101925862,126917.008971559,0.0178173719376391
105,2020-02-17 09:47:00,Alabama,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,97.0,0.0,52.94,5.567395555555556,3.3771523178807947,68458.0,143898.0,0.0
106,2020-02-17 04:00:00,California,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,91.0,70000.0,46.74505190311419,1.5658299999999998,0.3818053596614951,69237.56101925862,126917.008971559,0.0
